epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.766,1.12233,3.16105,1.26487,0.98211,0.45185,0.44828,0.3241,0.78634,4.03655,0.979,0.000468525,0.000468525,0.000468525
2,538.736,1.16837,1.42259,1.2842,0.96442,0.88401,0.96492,0.7608,0.79281,1.21556,1.04644,0.000898087,0.000898087,0.000898087
3,852.67,1.14812,1.20745,1.24983,0.84833,0.87921,0.89848,0.74027,0.71536,0.83648,0.99694,0.00128049,0.00128049,0.00128049
4,1091.73,1.09055,1.15725,1.23267,0.96896,0.9438,0.97264,0.79141,0.66928,0.83951,0.95291,0.00121679,0.00121679,0.00121679
5,1338.85,1.08054,1.12262,1.21099,0.97821,0.93936,0.97737,0.80939,0.64096,0.63618,0.92788,0.00114606,0.00114606,0.00114606
6,1584.72,1.05635,1.05974,1.20863,0.94372,0.93153,0.97217,0.81108,0.67213,0.65516,0.94236,0.00107532,0.00107532,0.00107532
7,1893.61,1.05437,1.0243,1.17942,0.96764,0.95704,0.98141,0.82695,0.62884,0.58546,0.92305,0.00100459,0.00100459,0.00100459
8,2223.5,1.00295,0.94871,1.15991,0.98574,0.95517,0.98444,0.83918,0.62037,0.54285,0.90609,0.000933851,0.000933851,0.000933851
9,2541.29,0.97748,0.92595,1.13678,0.96901,0.96239,0.9812,0.84625,0.57265,0.50554,0.88691,0.000863116,0.000863116,0.000863116
10,2790.92,0.95344,0.8645,1.1295,0.99325,0.95,0.98423,0.86101,0.52074,0.48255,0.88138,0.00079238,0.00079238,0.00079238
11,3043.97,0.84133,0.82082,1.05925,0.98895,0.96526,0.98293,0.8228,0.62449,0.50388,0.89615,0.000721645,0.000721645,0.000721645
12,3289.14,0.80496,0.73684,1.04643,0.99135,0.97179,0.98598,0.85062,0.5778,0.45916,0.88676,0.000650909,0.000650909,0.000650909
13,3586.04,0.77853,0.71446,1.0399,0.98693,0.97121,0.98441,0.86561,0.48969,0.43253,0.85888,0.000580174,0.000580174,0.000580174
14,3901.12,0.77132,0.67376,1.0389,0.99169,0.97029,0.98773,0.87462,0.48617,0.4234,0.8573,0.000509438,0.000509438,0.000509438
15,4161.3,0.75114,0.64346,1.02471,0.99264,0.96727,0.98833,0.86422,0.49022,0.42543,0.85625,0.000438703,0.000438703,0.000438703
16,4426.21,0.74407,0.63077,1.0131,0.99501,0.96955,0.98822,0.87393,0.48986,0.41097,0.85672,0.000367967,0.000367967,0.000367967
17,4683.58,0.72812,0.60477,0.99972,0.99331,0.96938,0.9884,0.89674,0.43751,0.38587,0.83936,0.000297232,0.000297232,0.000297232
18,4941.55,0.71555,0.58563,0.99066,0.99253,0.97166,0.98831,0.87495,0.46978,0.38533,0.84325,0.000226497,0.000226497,0.000226497
19,5214.85,0.68325,0.56135,0.98824,0.9923,0.97053,0.98969,0.88992,0.4412,0.37654,0.83678,0.000155761,0.000155761,0.000155761
20,5478.53,0.6807,0.53619,0.98398,0.98911,0.98005,0.99013,0.88791,0.4434,0.36561,0.83819,8.50255e-05,8.50255e-05,8.50255e-05
